,時間,時間數值,內容,按讚,留言,分享,觀看次數
91,2019年6月5日,1559664000.0,民主台灣我來顧，大家,47000,1788,520,-1.0
92,2019年6月5日,1559664000.0,很多六、七年級生對「,53000,2197,1375,-1.0
93,2019年6月5日,1559664000.0,#助英台 行動2,23000,1228,504,-1.0
94,2019年6月4日,1559577600.0,年輕人是永遠的反對黨,39000,2423,2179,-1.0
95,2019年6月4日,1559577600.0,每次跟 陳菊(花媽),51000,2855,753,-1.0
96,2019年6月3日,1559491200.0,一個國家文明與否，端,140000,9059,-1,-1.0
97,2019年6月3日,1559491200.0,#助英台， 就是幫助,120000,8377,4347,-1.0
98,2019年6月3日,1559491200.0,在美中經貿衝突這種特,30000,1870,1212,-1.0
99,2019年6月2日,1559404800.0,各位辣台派，晚安。,19000,1951,416,-1.0
100,2019年6月2日,1559404800.0,大稻埕的風華，是百年,33000,1449,1072,-1.0
101,2019年6月1日,1559318400.0,館長送我的襪子，背後,73000,2707,1676,-1.0
102,2019年6月1日,1559318400.0,今天很多人透過網路，,89000,3314,2549,-1.0
