,時間,時間數值,內容,按讚,留言,分享,觀看次數
77,2019年5月6日,1557072000.0,【瑜您隔空傳情第二彈,30000,4377,1693,-1.0
78,2019年5月5日,1556985600.0,下午好👋🏻一起聊聊最,70835,-1,10240,880000.0
79,2019年5月2日,1556726400.0,【高雄軍事觀光 正式,44000,9867,1432,-1.0
80,2019年5月2日,1556726400.0,直播中📹 我現在跟好,18000,2550,754,-1.0
81,2019年5月1日,1556640000.0,非常感謝世新大學全體,18000,2842,872,-1.0
82,2019年4月29日,1556467200.0,【台灣安全 人民有錢,50000,-1,-1,
83,2019年4月25日,1556121600.0,【時時好心就是時時好,41000,-1,-1,
84,2019年4月24日,1556035200.0,【座談與夜宿 — 大,45000,7294,2083,-1.0
85,2019年4月24日,1556035200.0,「愛與包容」永遠在！,90000,-1,-1,
86,2019年4月18日,1555516800.0,【美國行之感】 今天,79000,-1,-1,
87,2019年4月17日,1555430400.0,【老查理逛巧克力夢工,47000,4378,1820,-1.0
88,2019年4月16日,1555344000.0,訪美最後一站，登機前,33207,-1,1095,200000.0
89,2019年4月15日,1555257600.0,用這張照片為史丹佛之,81000,5724,3080,-1.0
90,2019年4月13日,1555084800.0,感受千人僑胞熱情- ,46007,-1,2225,380000.0
91,2019年4月13日,1555084800.0,南加僑界菁英晚宴- ,36571,-1,1381,210000.0
92,2019年4月12日,1554998400.0,哈佛之旅結束了，和台,99000,7809,3187,-1.0
93,2019年4月11日,1554912000.0,想當年在政大東亞所讀,61000,5002,3919,-1.0
94,2019年4月10日,1554825600.0,【微軟 X 高雄－播,28000,2875,1218,-1.0
